Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
259;Big brown;Holy Grail;;UK;golden ale;4.7;500;07/12/2018
;Big brown;Brewdog 5am Saint;;UK;amber;5;330;
;Big brown;Brewdog Dead Pony Club;;UK;pale ale;3.8;330;12/12/2017
255;Big brown;Brewdog Mr. President;;UK;double IPA;9.2;330;24/11/2018
409;Big brown;Brewdog Vagabond;;UK;American pale ale;4.5;330;27/11/2019
455;Big brown;Brewdog Lost Lager;;UK;lager;4.7;660;31/01/2020
497;Big brown;Brewdog Dead Pony Club;;UK;pale ale;3.8;330;25/05/2020
908;Big brown;Brewdog AldIPA;;UK;IPA;5.4;330;11/09/2022
1004;Big brown;Brewdog #16;;UK;smoked porter;5.8;330;13/12/2022
1060;Big brown;Brewdog Kiez Keule;;UK;lager;5.8;330;
1062;Big brown;Brewdog Elvis Juice;;UK;GIIPA;5.1;330;04/02/2023
530;Big brown;Adnams Lighthouse;;UK;golden beer;3.4;500;23/08/2020
465;Big brown;Adnams Ghost Ship;;UK;citrus pale ale;4.5;500;
;Big brown;Adnams Broadside;;UK;;6.3;500;08/06/2015
;Big brown;Jennings;1828;UK;;;500;
379;Big brown;Coop Winter Ruby Ale;;UK;ruby ale;6.5;500;26/09/2019
387;Big brown;Coop Triple Hop;;UK;ale;5.5;330;07/10/2019
388;Big brown;Coop IPA;;UK;IPA;4.5;500;10/10/2019
391;Big brown;Coop Golden Ale;;UK;golden ale;4;500;13/10/2019
384;Big brown;Pure Ubu;;UK;amber ale;4.5;500;03/10/2019
385;Big brown;Spitfire;;UK;amber ale;4.5;500;04/10/2019
386;Big brown;The Fursty Ferret;;UK;amber ale;4.4;500;05/10/2019
389;Big brown;Doom Bar;;UK;amber ale;4.3;500;10/10/2019
481;Big brown;Brakspear Oxford Gold;1779;UK;golden ale;4.6;500;23/03/2020
;Big brown;Brakspear Bitter;1779;UK;bitter;3.4;500;30/05/2015
383;Big brown;Maltsmiths;;UK;pilsner;4.6;500;30/09/2019
394;Big brown;Innis & Gunn Blood Red Sky;;UK;red ale;6.8;330;18/10/2019
1153;Big brown;Innis & Gunn Caribbean Run Cask;;UK;red beer;6.8;330;26/04/2023
;Big brown;McEwan’s Champion;1856;UK;ale;7.3;500;07/03/2017
397;Big brown;McEwan’s Champion;1856;UK;ale;7.3;500;18/10/2019
