Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
1186,Blue,Don't feed the cat ;),,RO,HNEIPA,5.5,30/06/2023,Dinner w/ Theo 1/2,,,,
1091,Blue,Dacic zmeură,,RO,cider,4.5,26/02/2023,Acasã la Theo,,,,
1124,Blue,Dacic berry,,RO,cider,4.5,30/03/2023,GW2 & Vinland Saga w/ Theo,,,,
,Big brown,KingGoblin,,UK,beer,6.6,11/03/2014,The tutorial doodles keep flowing,,,,
,Big brown,Hobgoblin,,UK,ruby beer,5.2,,,,,,
,Big brown,Imperial Red,,UK,ruby ale,4.7,,First “4 for £6” deal,,,,
,Big brown,Pumpking,,UK,pumpkin,3.8,24/10/2014,House Civ V,,,,
,Big brown,Dr. Thirsty’s,,UK,blonde,4.1,,,,,,
431,Big brown,Ginger Beard,,UK,ginger beer,4.2,27/12/2019,Reuniune de liceu; concert Cardinal,,,,
,Big brown,Dunkel Fester,,UK,dark,4.4,18/10/2016,"10 months; pizza, beer, film, luv",,,,
,Big brown,Piledriver,,UK,ale,4.3,,,,,,
,Big brown,Wychcraft,,UK,blonde,4.5,24/03/2015,Finished lab project,,,,
279,Big brown,Hobgoblin,,UK,IPA,5.3,13/02/2019,Senpai noticed me!,,,,
,Big brown,Goliath,,UK,best bitter,4.2,25/11/2015,Curry night with the college,,,,
567,Big brown,Goliath,,UK,best bitter,4.2,25/11/2020,Podcast chat & Stephen Wolfram talk,,,,
395,Big brown,Hobgoblin,,UK,ruby beer,5.2,18/10/2019,Sleepover in Glasgow 1/4,,,,
412,Big brown,KingGoblin,,UK,beer,6.6,05/12/2019,Silicon Valley season 6,,,,
569,Big brown,Shy Giant,,UK,amber beer,4.7,28/11/2020,Games new & old,,,,
571,Big brown,Diceman,,UK,stout,5,01/12/2020,Imperial Days 1/2,,,,
,Big brown,Wells Bombardier,1876,UK,reserve,6,16/03/2015,The talk with Julia,,,,
,Big brown,Wells Bombardier,1876,UK,,4.7,14/03/2014,No labs today. Compensated by playing Mafia. tau/2 day,,,,
224,Big brown,Bombardier,,UK,amber,4.7,31/08/2018,"Visiting the sausage flat, enjoying Civ, cookies and Selly food just like in the good ol' days.",,,,
226,Big brown,Lancaster Bomber,,UK,amber ale,4.4,03/09/2018,First day of summer school,,,,
,Big brown,Old Speckled Hen,1711,UK,ale,5,,,,,,
,Big brown,Old Golden Hen,1711,UK,beer,4.1,,,,,,
,Big brown,Old Crafty Hen,1711,UK,vintage ale,6.5,,,,,,
,Big brown,Manns,1902,UK,brown ale,,06/03/2014,Learning logistic maps with no internet… Might as well re-watch Lord of the Rings,,,,
398,Big brown,Isle of Arran,,UK,blonde,5,19/10/2019,Very Scottish dinner at Strathallan skydiving,,,,
,Big brown,Cobra,,UK,beer,4.8,,,,,,
382,Big brown,Cobra,,UK,beer,4.5,29/09/2019,Bravest warriors & lentil soup,,,,
,Big brown,County Carlow,1740,UK,Irish stout,4.5,,,,,,
,Big brown,Titanic,,UK,stout,4.5,,,,,,
,Big brown,Mud City,,UK,stout,6.6,,,,,,
,Big brown,London Pride,,UK,ale,4.7,,,,,,
,Big brown,London Pride,,UK,ale,4.7,,,,,,
,Big brown,Pedigree,,UK,pale ale,4.5,20/03/2014,"Maths HW, Lab Project, Tool, gossip w/ Para. What more can I ask?",,,,
,Big brown,Pedigree,1854,UK,limited ed.; pale ale,4.5,,,,,,
,Big brown,Owd Roger,,UK,country ale,7.4,28/02/2014,London awaits,,,,
,Big brown,Landlord,1858,UK,classic pale ale,4.1,,,,,,
278,Big brown,Landlord,1858,UK,classic pale ale,4.1,12/02/2019,RK approved to go to paper; chat with parents,,,,
,Big brown,Kentish Ale,,UK,ale,4.5,01/03/2014,Cards Against Humanity in London,,,,
450,Big brown,Sharp's,1994,UK,stout,5.2,21/01/2020,Lamb leg shawarma 2/2,,,,
,Big brown,Old Empire,,UK,IPA,5.7,22/03/2014,Sergiu’s baptism confirmed,,,,
,Big brown,Barry Island,,UK,American IPA,6,,,,,,
,Big brown,Jennings,1828,UK,Cumberland ale,4.7,02/05/2014,A Clockwork Orange,,,,
,Big brown,Sussex Golden Ale,,UK,golden ale,3.8,,,,,,
392,Big brown,Old Peculier,1827,UK,ale,5.6,15/10/2019,Finally finished settling in,,,,
,Big brown,Old Peculier,1827,UK,ale,5.6,,,,,,
,Big brown,Banks’s,1875,UK,bitter,3.8,,,,,,
393,Big brown,Banks's,1875,UK,amber ale,3.8,16/10/2019,First commute by bike in London,,,,
,Big brown,Blue Moon,,UK,wheat beer,5.4,,,,,,
229,Big brown,Blue Moon,1995,UK,wheat beer,5.4,07/09/2018,Night out in Lancaster,,,,
474,Big brown,Gem,1995,UK,amber ale,4.8,29/02/2020,Leap year,,,,
475,Big brown,Old Tom,1899,UK,strong ale,8.5,01/03/2020,Done Descending? 1/2,,,,
234,Big brown,Courage Directors,1787,UK,ale,4.8,13/09/2018,Formal dinner pre-drinks,,,,
,Big brown,Courage,1787,UK,bitter,3.6,,,,,,
,Big brown,Crest,,UK,beer,10,,,,,,
,Big brown,Tennent’s Super,,UK,lager,9,,,,,,
408,Big brown,Tangle Foot,,UK,golden ale,5,26/11/2019,Imperial days Welsh wine & mini croquet,,,,
,Big brown,Broughton Old Jock,1979,UK,Scotch ale,6.7,16/08/2017,Drinking w/ Liviu & the Discord gang in Edinburgh,,,,
,Big brown,Schiehallion,1983,UK,lager,4.8,,,,,,
